/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1033	Jacqueline Bisset	is	an English actress	0	2	2	3	3	6	0.9999999998901186	Jacqueline Bisset is an English actress .	NNP NNP VBZ DT JJ NN .	B-NP I-NP B-VP B-NP I-NP I-NP O	jacqueline bisset	be	an english actress
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1040	her mother	was of	French and English descent	5	7	7	9	9	13	0.7123768279645668	Her father was Scottish and her mother was of French and English descent ; Bisset 's mother cycled from Paris and boarded a British troop transport to escape the Germans during World War II .	PRP$ NN VBD NNP CC PRP$ NN VBD IN NNP CC NNP NN : NNP POS NN VBD IN NNP CC VBD DT JJ NN NN TO VB DT NNPS IN NNP NNP NNP .	B-NP I-NP B-VP B-NP O B-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP B-VP B-PP B-NP O B-VP B-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP B-PP B-NP I-NP I-NP O	her mother	be of	french and english descent
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1040	Bisset 's mother	cycled from	Paris	14	17	17	19	19	20	0.9245831396266803	Her father was Scottish and her mother was of French and English descent ; Bisset 's mother cycled from Paris and boarded a British troop transport to escape the Germans during World War II .	PRP$ NN VBD NNP CC PRP$ NN VBD IN NNP CC NNP NN : NNP POS NN VBD IN NNP CC VBD DT JJ NN NN TO VB DT NNPS IN NNP NNP NNP .	B-NP I-NP B-VP B-NP O B-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP B-VP B-PP B-NP O B-VP B-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP B-PP B-NP I-NP I-NP O	bisset 's mother	cycle from	paris
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1040	Bisset 's mother	boarded	a British troop transport	14	17	21	22	22	26	0.24819949063032035	Her father was Scottish and her mother was of French and English descent ; Bisset 's mother cycled from Paris and boarded a British troop transport to escape the Germans during World War II .	PRP$ NN VBD NNP CC PRP$ NN VBD IN NNP CC NNP NN : NNP POS NN VBD IN NNP CC VBD DT JJ NN NN TO VB DT NNPS IN NNP NNP NNP .	B-NP I-NP B-VP B-NP O B-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP B-VP B-PP B-NP O B-VP B-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP B-PP B-NP I-NP I-NP O	bisset 's mother	board	a british troop transport
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1041	Bisset	has	a brother	0	1	1	2	2	4	0.8980503531597858	Bisset has a brother , Max .	NNP VBZ DT NN , NNP .	B-NP B-VP B-NP I-NP O B-NP O	bisset	have	a brother
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1042	Her mother	taught	her	0	2	2	3	3	4	0.0048152840011489225	Her mother taught her to speak French fluently , and she was educated at the Lycée Français Charles de Gaulle in London .	PRP$ NN VBD PRP TO VB NNP RB , CC PRP VBD VBN IN DT NNP NNP NNP IN NNP IN NNP .	B-NP I-NP B-VP B-NP B-VP I-VP B-NP B-ADVP O O B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP O	her mother	teach	her
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1042	she	was educated at	the Lycée Français Charles	10	11	11	14	14	18	0.41608556635252353	Her mother taught her to speak French fluently , and she was educated at the Lycée Français Charles de Gaulle in London .	PRP$ NN VBD PRP TO VB NNP RB , CC PRP VBD VBN IN DT NNP NNP NNP IN NNP IN NNP .	B-NP I-NP B-VP B-NP B-VP I-VP B-NP B-ADVP O O B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP O	she	educate at	the lycée français charles
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1043	She	had taken	ballet lessons	0	1	1	3	3	5	0.36594611362148727	She had taken ballet lessons as a child and began taking acting lessons and fashion modelling to pay for them .	PRP VBD VBN NN NNS IN DT NN CC VBD VBG JJ NNS CC NN NN TO VB IN PRP .	B-NP B-VP I-VP B-NP I-NP B-PP B-NP I-NP O B-VP I-VP B-NP I-NP O B-NP I-NP B-VP I-VP B-PP B-NP O	she	take	ballet lessons
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1043	ballet lessons	began taking	acting lessons	3	5	9	11	11	13	0.8625719660482339	She had taken ballet lessons as a child and began taking acting lessons and fashion modelling to pay for them .	PRP VBD VBN NN NNS IN DT NN CC VBD VBG JJ NNS CC NN NN TO VB IN PRP .	B-NP B-VP I-VP B-NP I-NP B-PP B-NP I-NP O B-VP I-VP B-NP I-NP O B-NP I-NP B-VP I-VP B-PP B-NP O	ballet lessons	begin take	acting lessons
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1044	Bisset	was	a teenager	1	2	2	3	3	5	0.7914161011235861	When Bisset was a teenager , her mother was diagnosed with disseminating sclerosis .	WRB NNP VBD DT NN , PRP$ NN VBD VBN IN VBG NN .	B-ADVP B-NP B-VP B-NP I-NP O B-NP I-NP B-VP I-VP B-PP B-NP I-NP O	bisset	be	a teenager
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1045	Bisset	was working as	an actress	5	6	6	9	9	11	0.9534145676987612	In the following years while Bisset was working as an actress in Hollywood , she made frequent trips back home in order to care for her mother , which she says got in the way of her personal relationships .	IN DT JJ NNS IN NNP VBD VBG IN DT NN IN NNP , PRP VBD JJ NNS RB NN IN NN TO VB IN PRP$ NN , WDT PRP VBZ VBD IN DT NN IN PRP$ JJ NNS .	B-PP B-NP I-NP I-NP B-SBAR B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP O B-NP B-VP B-NP I-NP B-VP B-ADVP B-SBAR O B-VP I-VP B-PP B-NP I-NP O B-NP B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	bisset	work as	an actress
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1045	she	made	frequent trips	14	15	15	16	16	18	0.20073818145317332	In the following years while Bisset was working as an actress in Hollywood , she made frequent trips back home in order to care for her mother , which she says got in the way of her personal relationships .	IN DT JJ NNS IN NNP VBD VBG IN DT NN IN NNP , PRP VBD JJ NNS RB NN IN NN TO VB IN PRP$ NN , WDT PRP VBZ VBD IN DT NN IN PRP$ JJ NNS .	B-PP B-NP I-NP I-NP B-SBAR B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP O B-NP B-VP B-NP I-NP B-VP B-ADVP B-SBAR O B-VP I-VP B-PP B-NP I-NP O B-NP B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	she	make	frequent trips
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1045	she	says got in	the way of her personal relationships	29	30	30	33	33	39	0.029109889028981855	In the following years while Bisset was working as an actress in Hollywood , she made frequent trips back home in order to care for her mother , which she says got in the way of her personal relationships .	IN DT JJ NNS IN NNP VBD VBG IN DT NN IN NNP , PRP VBD JJ NNS RB NN IN NN TO VB IN PRP$ NN , WDT PRP VBZ VBD IN DT NN IN PRP$ JJ NNS .	B-PP B-NP I-NP I-NP B-SBAR B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP O B-NP B-VP B-NP I-NP B-VP B-ADVP B-SBAR O B-VP I-VP B-PP B-NP I-NP O B-NP B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	she	say get in	the way of her personal relationships
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1046	Bisset 's parents	divorced in	1968	0	3	3	5	5	6	0.8797477812638694	Bisset 's parents divorced in 1968 , after 28 years of marriage .	NNP POS NNS VBD IN CD , IN CD NNS IN NN .	B-NP I-NP I-NP B-VP B-PP B-NP O B-PP B-NP I-NP I-NP I-NP O	bisset 's parents	divorce in	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1047	Her father	died aged	71 of a brain tumour	0	2	2	4	4	9	0.8097675578826697	Her father died aged 71 of a brain tumour in 1982 .	PRP$ NN VBD VBN CD IN DT NN NN IN CD .	B-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O	her father	die age	# of a brain tumour
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1048	Her mother	died in	1999	0	2	2	4	4	5	0.999999999788334	Her mother died in 1999 .	PRP$ NN VBD IN CD .	B-NP I-NP B-VP B-PP B-NP O	her mother	die in	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1049	Bisset	made	her screen debut	0	1	1	2	2	5	0.8889041165941297	Bisset made her screen debut with a bit part in The Knack ...and How to Get It .	NNP VBD PRP$ NN NN IN DT NN NN IN DT NNP NNP WRB TO VB PRP .	B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP B-ADVP B-VP I-VP B-NP O	bisset	make	her screen debut
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1050	Her first speaking role	was in	the 1966 film Cul-de-sac	0	4	4	6	6	10	0.9375765079689041	Her first speaking role was in the 1966 film Cul-de-sac , starring Donald Pleasence and directed by Roman Polanski .	PRP$ JJ NN NN VBD IN DT CD NN NNP , VBG NNP NNP CC VBN IN NNP NNP .	B-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP O B-VP B-NP I-NP O B-VP B-PP B-NP I-NP O	her first speaking role	be in	the # film cul-de-sac
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1051	She	was cast in	the romance film Two	0	1	1	4	4	8	0.5020118440151656	She was cast in the romance film Two for the Road .	PRP VBD VBN IN DT NN NN CD IN DT NNP .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O	she	cast in	the romance film #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1052	She	participated in	the 1967 James Bond satire	0	1	1	3	3	8	0.6706680935403807	She participated in the 1967 James Bond satire , Casino Royale , as Miss Goodthighs .	PRP VBD IN DT CD NNP NNP NN , NNP NNP , IN NNP NNP .	B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP O B-PP B-NP I-NP O	she	participate in	the # james bond satire
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1053	she	replaced	Mia Farrow	3	4	4	5	5	7	0.07042899661775177	In 1968 , she replaced Mia Farrow to star opposite Frank Sinatra in The Detective ; Farrow and Sinatra had split shortly before production began and the role was given to Bisset , who received special billing in the film 's credits .	IN CD , PRP VBD NNP NNP TO VB JJ NNP NNP IN DT NNP : NNP CC NNP VBD VBN RB IN NN VBD CC DT NN VBD VBN TO NNP , WP VBD JJ NN IN DT NN POS NNS .	B-PP B-NP O B-NP B-VP B-NP I-NP B-VP I-VP B-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP I-NP B-VP I-VP B-ADVP B-SBAR B-NP B-VP O B-NP I-NP B-VP I-VP B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	she	replace	mia farrow
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1053	Farrow and Sinatra	had split shortly before	production	16	19	19	23	23	24	0.4576164188900366	In 1968 , she replaced Mia Farrow to star opposite Frank Sinatra in The Detective ; Farrow and Sinatra had split shortly before production began and the role was given to Bisset , who received special billing in the film 's credits .	IN CD , PRP VBD NNP NNP TO VB JJ NNP NNP IN DT NNP : NNP CC NNP VBD VBN RB IN NN VBD CC DT NN VBD VBN TO NNP , WP VBD JJ NN IN DT NN POS NNS .	B-PP B-NP O B-NP B-VP B-NP I-NP B-VP I-VP B-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP I-NP B-VP I-VP B-ADVP B-SBAR B-NP B-VP O B-NP I-NP B-VP I-VP B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	farrow and sinatra	split before	production
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1053	the role	was given to	Bisset	26	28	28	31	31	32	0.9777306371458877	In 1968 , she replaced Mia Farrow to star opposite Frank Sinatra in The Detective ; Farrow and Sinatra had split shortly before production began and the role was given to Bisset , who received special billing in the film 's credits .	IN CD , PRP VBD NNP NNP TO VB JJ NNP NNP IN DT NNP : NNP CC NNP VBD VBN RB IN NN VBD CC DT NN VBD VBN TO NNP , WP VBD JJ NN IN DT NN POS NNS .	B-PP B-NP O B-NP B-VP B-NP I-NP B-VP I-VP B-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP I-NP B-VP I-VP B-ADVP B-SBAR B-NP B-VP O B-NP I-NP B-VP I-VP B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	the role	give to	bisset
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1053	Bisset	received special billing in	the film 's credits	31	32	34	38	38	42	0.7893282111946813	In 1968 , she replaced Mia Farrow to star opposite Frank Sinatra in The Detective ; Farrow and Sinatra had split shortly before production began and the role was given to Bisset , who received special billing in the film 's credits .	IN CD , PRP VBD NNP NNP TO VB JJ NNP NNP IN DT NNP : NNP CC NNP VBD VBN RB IN NN VBD CC DT NN VBD VBN TO NNP , WP VBD JJ NN IN DT NN POS NNS .	B-PP B-NP O B-NP B-VP B-NP I-NP B-VP I-VP B-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP I-NP B-VP I-VP B-ADVP B-SBAR B-NP B-VP O B-NP I-NP B-VP I-VP B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	bisset	receive billing in	the film 's credits
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1054	Bisset 's break-out role	was as	Steve McQueen 's girlfriend	0	4	4	6	6	10	0.9514442803565619	Bisset 's break-out role was as Steve McQueen 's girlfriend in the hit action film Bullitt , also released in 1968 .	NNP POS JJ NN VBD IN NNP NNP POS NN IN DT NN NN NN NNP , RB VBN IN CD .	B-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-VP I-VP B-PP B-NP O	bisset 's break-out role	be as	steve mcqueen 's girlfriend
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1055	she	received	her first Golden Globe nomination	3	4	4	5	5	10	0.36798204919488053	The following year she received her first Golden Globe nomination as New Star of the Year for her performance in The Sweet Ride , and played her first sexy "older woman " .	DT VBG NN PRP VBD PRP$ JJ NNP NNP NN IN NNP NNP IN DT NN IN PRP$ NN IN DT NNP NNP , CC VBD PRP$ JJ JJ NN NN '' .	B-NP I-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP I-NP I-NP O	she	receive	her first golden globe nomination
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1055	her performance	played	her first sexy "older woman "	17	19	25	26	26	32	0.8236273374680896	The following year she received her first Golden Globe nomination as New Star of the Year for her performance in The Sweet Ride , and played her first sexy "older woman " .	DT VBG NN PRP VBD PRP$ JJ NNP NNP NN IN NNP NNP IN DT NN IN PRP$ NN IN DT NNP NNP , CC VBD PRP$ JJ JJ NN NN '' .	B-NP I-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP I-NP I-NP O	her performance	play	her first sexy "older woman
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1056	She	was one of	the many stars	0	1	1	4	4	7	0.3027515148251368	She was one of the many stars in the blockbuster disaster film Airport , a Best Picture nominee in which she acted opposite Dean Martin and Helen Hayes .	PRP VBD CD IN DT JJ NNS IN DT NN NN NN NNP , DT NNP NN NN IN WDT PRP VBD IN NNP NNP CC NNP NNP .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP B-PP B-NP B-NP B-VP B-PP B-NP I-NP O B-NP I-NP O	she	be one of	the many stars
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1056	she	acted opposite	Dean Martin	20	21	21	23	23	25	0.27485957453488885	She was one of the many stars in the blockbuster disaster film Airport , a Best Picture nominee in which she acted opposite Dean Martin and Helen Hayes .	PRP VBD CD IN DT JJ NNS IN DT NN NN NN NNP , DT NNP NN NN IN WDT PRP VBD IN NNP NNP CC NNP NNP .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP B-PP B-NP B-NP B-VP B-PP B-NP I-NP O B-NP I-NP O	she	act opposite	dean martin
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1058	Bisset	made	strides	0	1	1	2	2	3	0.8446451270506704	Bisset made strides towards becoming a better-known entertainer in America with The Deep , co-starring Robert Shaw and Nick Nolte and directed by Peter Yates , who had previously directed her in Bullitt .	NNP VBD NNS IN VBG DT JJ NN IN NNP IN DT NNP , NN NNP NNP CC NNP NNP CC VBN IN NNP NNP , WP VBD RB VBN PRP$ IN NNP .	B-NP B-VP B-NP B-PP B-VP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP O B-NP I-NP I-NP O B-NP I-NP O B-VP B-PP B-NP I-NP O B-NP B-VP I-VP I-VP B-NP B-PP B-NP O	bisset	make	strides
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1058	Peter Yates	had previously directed her in	Bullitt	23	25	27	32	32	33	0.9220815430951184	Bisset made strides towards becoming a better-known entertainer in America with The Deep , co-starring Robert Shaw and Nick Nolte and directed by Peter Yates , who had previously directed her in Bullitt .	NNP VBD NNS IN VBG DT JJ NN IN NNP IN DT NNP , NN NNP NNP CC NNP NNP CC VBN IN NNP NNP , WP VBD RB VBN PRP$ IN NNP .	B-NP B-VP B-NP B-PP B-VP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP O B-NP I-NP I-NP O B-NP I-NP O B-VP B-PP B-NP I-NP O B-NP B-VP I-VP I-VP B-NP B-PP B-NP O	peter yates	direct in	bullitt
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1059	That T-shirt	made	me	34	36	36	37	37	38	0.02807002424214412	A scene of her swimming underwater wearing only a thin , white T-shirt and bikini bottom helped make the film a box office success , leading the producer Peter Guber to say , " That T-shirt made me a rich man " .	DT NN IN PRP$ NN RB VBG RB DT JJ , JJ NN CC NN NN VBN VB DT NN DT NN NN NN , VBG DT NN NNP NNP TO VB , `` DT NN VBD PRP DT JJ NN '' .	B-NP I-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP B-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-VP I-VP O O B-NP I-NP B-VP B-NP B-NP I-NP I-NP B-VP O	that t-shirt	make	me
