/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19840	Jacob Benjamin " Jake " Gyllenhaal	is	an American actor	0	6	6	7	7	10	0.9999999998901186	Jacob Benjamin " Jake " Gyllenhaal is an American actor .	NNP NNP `` NNP '' NNP VBZ DT JJ NN .	B-NP I-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O	jacob benjamin jake gyllenhaal	be	an american actor
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19847	the 2004 U.S. Presidential election	campaigned on	behalf of the American Civil Liberties Union	15	20	26	28	28	35	0.99795268362849	He has appeared in Rock the Vote advertising , campaigned for the Democratic Party in the 2004 U.S. Presidential election , promoted environmental causes , and campaigned on behalf of the American Civil Liberties Union .	PRP VBZ VBN IN NNP DT NNP NN , VBD IN DT JJ NNP IN DT CD NNP JJ NN , VBN JJ NNS , CC VBD IN NN IN DT NNP NNP NNPS NNP .	B-NP B-VP I-VP B-PP B-NP B-NP I-NP I-NP O B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP O O B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	the # u.s. presidential election	campaign on	behalf of the american civil liberties union
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19848	Gyllenhaal	was born in	Los Angeles	0	1	1	4	4	6	0.9963056293131556	Gyllenhaal was born in Los Angeles , the son of film director Stephen Gyllenhaal and film producer and screenwriter Naomi Foner .	NNP VBD VBN IN NNP NNP , DT NN IN NN NN NNP NNP CC NN NN CC NN NNP NNP .	B-NP B-VP I-VP B-PP B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP O	gyllenhaal	bear in	los angeles
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19849	his older sister	appeared with	Jake	3	6	11	13	13	14	0.8426775044492109	Maggie Gyllenhaal , his older sister and also an actress , appeared with Jake in the movie Donnie Darko .	NNP NNP , PRP$ JJR NN CC RB DT NN , VBD IN NNP IN DT NN NNP NNP .	B-NP I-NP O B-NP I-NP I-NP O B-ADVP B-NP I-NP O B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP O	his older sister	appear with	jake
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19850	Gyllenhaal 's father	was raised in	the Swedenborgian religion	0	3	3	6	6	9	0.9382375917852193	Gyllenhaal 's father was raised in the Swedenborgian religion and is a descendant of the Swedish noble Gyllenhaal family .	NNP POS NN VBD VBN IN DT JJ NN CC VBZ DT NN IN DT JJ JJ NNP NN .	B-NP I-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	gyllenhaal 's father	raise in	the swedenborgian religion
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19850	Gyllenhaal 's father	is a descendant of	the Swedish noble Gyllenhaal family	0	3	10	14	14	19	0.943909065054314	Gyllenhaal 's father was raised in the Swedenborgian religion and is a descendant of the Swedish noble Gyllenhaal family .	NNP POS NN VBD VBN IN DT JJ NN CC VBZ DT NN IN DT JJ JJ NNP NN .	B-NP I-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	gyllenhaal 's father	be descendant of	the swedish noble gyllenhaal family
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19851	His last native Swedish ancestor	was	his great-great-grandfather	0	5	5	6	6	8	0.9433395310362671	His last native Swedish ancestor was his great-great-grandfather , Anders Leonard Gyllenhaal .	PRP$ JJ JJ NNP NN VBD PRP$ JJ , NNP NNP NNP .	B-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-NP I-NP I-NP O	his last native swedish ancestor	be	his great-great-grandfather
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19852	Jake Gyllenhaal 's mother	is from	a Jewish family	0	4	4	6	6	9	0.7010400232672691	Jake Gyllenhaal 's mother is from a Jewish family from New York City , and Gyllenhaal has said that he considers himself "more Jewish than anything else . "	NNP NNP POS NN VBZ IN DT JJ NN IN NNP NNP NNP , CC NNP VBZ VBD IN PRP VBZ PRP RB JJ IN NN RB . ''	B-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O O B-NP B-VP I-VP B-SBAR B-NP B-VP B-NP B-ADJP I-ADJP B-PP B-NP B-ADJP O O	jake gyllenhaal 's mother	be from	a jewish family
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19852	he	considers	himself	19	20	20	21	21	22	0.001073162042772104	Jake Gyllenhaal 's mother is from a Jewish family from New York City , and Gyllenhaal has said that he considers himself "more Jewish than anything else . "	NNP NNP POS NN VBZ IN DT JJ NN IN NNP NNP NNP , CC NNP VBZ VBD IN PRP VBZ PRP RB JJ IN NN RB . ''	B-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O O B-NP B-VP I-VP B-SBAR B-NP B-VP B-NP B-ADJP I-ADJP B-PP B-NP B-ADJP O O	he	consider	himself
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19853	Gyllenhaal	performed	a "barmitzvah-like act	5	6	6	7	7	10	0.8592671476475923	On his 13th birthday , Gyllenhaal performed a "barmitzvah-like act , without the typical trappings " , volunteering at a homeless shelter , because his parents wanted to instill in him a sense of gratitude for his privileged lifestyle .	IN PRP$ JJ NN , NNP VBD DT JJ NN , IN DT JJ NNS '' , VBG IN DT JJ NN , IN PRP$ NNS VBD TO VB IN PRP DT NN IN NN IN PRP$ JJ NN .	B-PP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP O B-PP B-NP I-NP I-NP O O B-VP B-PP B-NP I-NP I-NP O B-SBAR B-NP I-NP B-VP I-VP I-VP B-PP B-NP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	gyllenhaal	perform	a "barmitzvah-like act
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19853	his parents	wanted to instill in	him	24	26	26	30	30	31	0.01733877983896379	On his 13th birthday , Gyllenhaal performed a "barmitzvah-like act , without the typical trappings " , volunteering at a homeless shelter , because his parents wanted to instill in him a sense of gratitude for his privileged lifestyle .	IN PRP$ JJ NN , NNP VBD DT JJ NN , IN DT JJ NNS '' , VBG IN DT JJ NN , IN PRP$ NNS VBD TO VB IN PRP DT NN IN NN IN PRP$ JJ NN .	B-PP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP O B-PP B-NP I-NP I-NP O O B-VP B-PP B-NP I-NP I-NP O B-SBAR B-NP I-NP B-VP I-VP I-VP B-PP B-NP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	his parents	want to instill in	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19854	he	have	summer jobs	4	5	5	6	6	8	0.0024924889745050046	His parents insisted that he have summer jobs to support himself , and he thus worked as a lifeguard and as a busboy at a restaurant operated by a family friend .	PRP$ NNS VBD IN PRP VB NN NNS TO VB PRP , CC PRP RB VBD IN DT NN CC IN DT NN IN DT NN VBN IN DT NN NN .	B-NP I-NP B-VP B-SBAR B-NP B-VP B-NP I-NP B-VP I-VP B-NP O O B-NP B-ADVP B-VP B-PP B-NP I-NP B-PP B-PP B-NP I-NP B-PP B-NP I-NP B-VP B-PP B-NP I-NP I-NP O	he	have	summer jobs
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19854	he	thus worked as	a lifeguard	13	14	14	17	17	19	0.07569842977233654	His parents insisted that he have summer jobs to support himself , and he thus worked as a lifeguard and as a busboy at a restaurant operated by a family friend .	PRP$ NNS VBD IN PRP VB NN NNS TO VB PRP , CC PRP RB VBD IN DT NN CC IN DT NN IN DT NN VBN IN DT NN NN .	B-NP I-NP B-VP B-SBAR B-NP B-VP B-NP I-NP B-VP I-VP B-NP O O B-NP B-ADVP B-VP B-PP B-NP I-NP B-PP B-PP B-NP I-NP B-PP B-NP I-NP B-VP B-PP B-NP I-NP I-NP O	he	work as	a lifeguard
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19855	Gyllenhaal	had regular exposure to	filmmaking due	3	4	4	8	8	10	0.5309887765503465	During childhood , Gyllenhaal had regular exposure to filmmaking due to his family 's deep ties to the industry .	IN NN , NNP VBD JJ NN TO NN JJ TO PRP$ NN POS JJ NNS TO DT NN .	B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP O	gyllenhaal	have exposure to	filmmaking due
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19856	He	made his acting debut as	Billy Crystal 's son	0	1	1	6	6	10	0.8311324615388511	He made his acting debut as Billy Crystal 's son in the 1991 comedy film City Slickers .	PRP VBD PRP$ JJ NN IN NNP NNP POS NN IN DT CD NN NN NNP NNS .	B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	he	make debut as	billy crystal 's son
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19857	His parents	did not allow	him	0	2	2	5	5	6	0.006110134310951304	His parents did not allow him to appear in the 1992 film The Mighty Ducks because it would have required him leaving home for two months .	PRP$ NNS VBD RB VB PRP TO VB IN DT CD NN DT JJ NNS IN PRP MD VB VBN PRP VBG NN IN CD NNS .	B-NP I-NP B-VP I-VP I-VP B-NP B-VP I-VP B-PP B-NP I-NP I-NP B-NP I-NP I-NP B-SBAR B-NP B-VP I-VP I-VP B-NP B-VP B-NP B-PP B-NP I-NP O	his parents	allow	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19857	it	would have required	him	16	17	17	20	20	21	5.739196922546987E-4	His parents did not allow him to appear in the 1992 film The Mighty Ducks because it would have required him leaving home for two months .	PRP$ NNS VBD RB VB PRP TO VB IN DT CD NN DT JJ NNS IN PRP MD VB VBN PRP VBG NN IN CD NNS .	B-NP I-NP B-VP I-VP I-VP B-NP B-VP I-VP B-PP B-NP I-NP I-NP B-NP I-NP I-NP B-SBAR B-NP B-VP I-VP I-VP B-NP B-VP B-NP B-PP B-NP I-NP O	it	require	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19858	his parents	allowed	him	4	6	6	7	7	8	0.022672948819860816	In subsequent years , his parents allowed him to audition for parts , but regularly forbade him to take them if he were chosen .	IN JJ NNS , PRP$ NNS VBD PRP TO VB IN NNS , CC RB VBD PRP TO VB PRP IN PRP VBD VBN .	B-PP B-NP I-NP O B-NP I-NP B-VP B-NP B-VP I-VP B-PP B-NP O O B-VP I-VP B-NP B-VP I-VP B-NP B-SBAR B-NP B-VP I-VP O	his parents	allow	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19858	parts	regularly forbade	him	11	12	14	16	16	17	0.04381432833278914	In subsequent years , his parents allowed him to audition for parts , but regularly forbade him to take them if he were chosen .	IN JJ NNS , PRP$ NNS VBD PRP TO VB IN NNS , CC RB VBD PRP TO VB PRP IN PRP VBD VBN .	B-PP B-NP I-NP O B-NP I-NP B-VP B-NP B-VP I-VP B-PP B-NP O O B-VP I-VP B-NP B-VP I-VP B-NP B-SBAR B-NP B-VP I-VP O	parts	forbid	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19859	He	was allowed to appear in	his father 's films several times	0	1	1	6	6	12	0.9999999976522638	He was allowed to appear in his father 's films several times .	PRP VBD VBN TO VB IN PRP$ NN POS NNS JJ NNS .	B-NP B-VP I-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	he	allow to appear in	his father 's films several times
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19860	Gyllenhaal	appeared in	the 1993 film	0	1	1	3	3	6	0.583321462043605	Gyllenhaal appeared in the 1993 film A Dangerous Woman ; in " Bop Gun " a 1994 episode of Homicide : Life on the Street ; and in the 1998 comedy Homegrown .	NNP VBD IN DT CD NN DT JJ NN : IN `` NNP NNP `` DT CD NN IN NNP : NN IN DT NNP : CC IN DT CD NN JJ .	B-NP B-VP B-PP B-NP I-NP I-NP B-NP I-NP I-NP O B-PP B-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP O B-NP B-PP B-NP I-NP O O B-PP B-NP I-NP I-NP B-ADJP O	gyllenhaal	appear in	the # film
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19861	Maggie	appeared in	two episodes of Molto Mario	7	8	8	10	10	15	0.867202580911895	Along with their mother , Jake and Maggie appeared in two episodes of Molto Mario , an Italian cooking show on the Food Network .	IN IN PRP$ NN , NNP CC NNP VBD IN CD NNS IN NNP NNP , DT JJ NN NN IN DT NNP NNP .	B-PP B-PP B-NP I-NP O B-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	maggie	appear in	# episodes of molto mario
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19863	Gyllenhaal	graduated from	the Harvard-Westlake School	0	1	1	3	3	6	0.9514442803565619	Gyllenhaal graduated from the Harvard-Westlake School in Los Angeles in 1998 , then attended Columbia University , where his sister was a senior and from which his mother had graduated , to study Eastern religions and philosophy .	NNP VBD IN DT NNP NNP IN NNP NNP IN CD , RB VBD NNP NNP , WRB PRP$ NN VBD DT JJ CC IN WDT PRP$ NN VBD VBN , TO VB NNP NNS CC NN .	B-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP O B-ADVP B-VP B-NP I-NP O B-ADVP B-NP I-NP B-VP B-NP I-NP O B-PP B-NP B-NP I-NP B-VP I-VP O B-VP I-VP B-NP I-NP I-NP I-NP O	gyllenhaal	graduate from	the harvard-westlake school
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19863	Los Angeles	then attended	Columbia University	7	9	12	14	14	16	0.9470181695932616	Gyllenhaal graduated from the Harvard-Westlake School in Los Angeles in 1998 , then attended Columbia University , where his sister was a senior and from which his mother had graduated , to study Eastern religions and philosophy .	NNP VBD IN DT NNP NNP IN NNP NNP IN CD , RB VBD NNP NNP , WRB PRP$ NN VBD DT JJ CC IN WDT PRP$ NN VBD VBN , TO VB NNP NNS CC NN .	B-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP O B-ADVP B-VP B-NP I-NP O B-ADVP B-NP I-NP B-VP B-NP I-NP O B-PP B-NP B-NP I-NP B-VP I-VP O B-VP I-VP B-NP I-NP I-NP I-NP O	los angeles	attend	columbia university
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19863	his sister	was	a senior	18	20	20	21	21	23	0.680124437987325	Gyllenhaal graduated from the Harvard-Westlake School in Los Angeles in 1998 , then attended Columbia University , where his sister was a senior and from which his mother had graduated , to study Eastern religions and philosophy .	NNP VBD IN DT NNP NNP IN NNP NNP IN CD , RB VBD NNP NNP , WRB PRP$ NN VBD DT JJ CC IN WDT PRP$ NN VBD VBN , TO VB NNP NNS CC NN .	B-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP O B-ADVP B-VP B-NP I-NP O B-ADVP B-NP I-NP B-VP B-NP I-NP O B-PP B-NP B-NP I-NP B-VP I-VP O B-VP I-VP B-NP I-NP I-NP I-NP O	his sister	be	a senior
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19864	Gyllenhaal	dropped out after	two years	0	1	1	4	4	6	0.30440703689679915	Gyllenhaal dropped out after two years to concentrate on acting , but has expressed intentions to eventually finish his degree .	NNP VBD RP IN CD NNS TO VB IN VBG , CC VBZ VBN NNS TO RB VB PRP$ NN .	B-NP B-VP B-PRT B-NP I-NP I-NP B-VP I-VP B-PP B-NP O O B-VP B-NP I-NP B-VP I-VP I-VP B-NP I-NP O	gyllenhaal	drop out after	# years
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19864	acting	has expressed	intentions	9	10	12	14	14	15	0.1948615368201176	Gyllenhaal dropped out after two years to concentrate on acting , but has expressed intentions to eventually finish his degree .	NNP VBD RP IN CD NNS TO VB IN VBG , CC VBZ VBN NNS TO RB VB PRP$ NN .	B-NP B-VP B-PRT B-NP I-NP I-NP B-VP I-VP B-PP B-NP O O B-VP B-NP I-NP B-VP I-VP I-VP B-NP I-NP O	acting	express	intentions
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19865	Gyllenhaal 's first lead role	was in	October Sky	0	5	5	7	7	9	0.9600463108049133	Gyllenhaal 's first lead role was in October Sky , Joe Johnston 's 1999 adaptation of the Homer Hickam autobiography Rocket Boys , in which he portrayed a young man from West Virginia striving to win a science scholarship to avoid becoming a coal miner .	NNP POS JJ JJ NN VBD IN NNP NNP , NNP NNP POS CD NN IN DT NNP NNP NN NNP NNPS , IN WDT PRP VBD DT JJ NN IN NNP NNP NN TO VB DT NN NN TO VB VBG DT NN NN .	B-NP I-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-PP B-NP B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP B-VP I-VP B-NP I-NP I-NP B-VP I-VP I-VP B-NP I-NP I-NP O	gyllenhaal 's first lead role	be in	october sky
