/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10500	Jade Cerisa Lorraine Goody	was	an English celebrity	0	4	4	5	5	8	0.9999999999144422	Jade Cerisa Lorraine Goody was an English celebrity .	NNP NNP NNP NNP VBD DT JJ NN .	B-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O	jade cerisa lorraine goody	be	an english celebrity
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10506	she	had	cervical cancer	31	32	32	33	33	35	0.05318243522869972	In August 2008 , she appeared on the Indian version of Big Brother , Bigg Boss , but withdrew early from the show and returned to the UK after being told she had cervical cancer .	IN NNP CD , PRP VBD IN DT JJ NN IN NNP NNP , NNP NNP , CC VBD RB IN DT NN CC VBD TO DT NN IN VBG VBD PRP VBD JJ NN .	B-PP B-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O B-VP B-ADVP B-PP B-NP I-NP O B-VP B-PP B-NP I-NP B-PP B-VP I-VP B-NP B-VP B-NP I-NP O	she	have	cervical cancer
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10507	it	was	terminal	13	14	14	15	15	16	0.06336266822705798	In February 2009 , after the cancer metastasised , she was told that it was terminal .	IN NNP CD , IN DT NN VBD , PRP VBD VBN IN PRP VBD NN .	B-PP B-NP I-NP O B-PP B-NP I-NP B-VP O B-NP B-VP I-VP B-SBAR B-NP B-VP B-NP O	it	be	terminal
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10508	She	married	Jack Tweed	0	1	1	2	2	4	0.6021350111765814	She married Jack Tweed on 22 February 2009 and died , one month later , in the early hours of 22 March 2009 .	PRP VBD NNP NNP IN CD NNP CD CC VBD , CD NN RB , IN DT JJ NNS IN CD NNP CD .	B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP O B-VP O B-NP I-NP B-ADVP O B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	she	marry	jack tweed
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10509	she	appeared on	Big Brother 3	1	2	2	4	4	7	0.9909679708427954	When she appeared on Big Brother 3 , Goody became a target of ridicule in the British tabloid press for displaying a severe lack of general knowledge for a British native .	WRB PRP VBD IN NNP NNP CD , NNP VBD DT NN IN NN IN DT JJ JJ NN IN VBG DT JJ NN IN JJ NN IN DT JJ NN .	B-ADVP B-NP B-VP B-PP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	she	appear on	big brother #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10509	Goody	became a target of	ridicule	8	9	9	13	13	14	0.4172084976897886	When she appeared on Big Brother 3 , Goody became a target of ridicule in the British tabloid press for displaying a severe lack of general knowledge for a British native .	WRB PRP VBD IN NNP NNP CD , NNP VBD DT NN IN NN IN DT JJ JJ NN IN VBG DT JJ NN IN JJ NN IN DT JJ NN .	B-ADVP B-NP B-VP B-PP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	goody	become target of	ridicule
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10510	the English city of Cambridge	was in	London	3	8	8	10	10	11	0.4818049950857942	Goody thought that the English city of Cambridge was in London .	NNP VBD IN DT JJ NN IN NNP VBD IN NNP .	B-NP B-VP B-SBAR B-NP I-NP I-NP I-NP I-NP B-VP B-PP B-NP O	the english city of cambridge	be in	london
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10511	Cambridge	is in	East Anglia	4	5	5	7	7	9	0.4969050780809791	On being told that Cambridge is in East Anglia , she assumed that to be abroad , and referred to it as " East Angular " .	IN VBG VBN IN NNP VBZ IN NNP NNP , PRP VBD IN TO VB RB , CC VBD TO PRP IN `` NNP NNP '' .	B-PP B-VP I-VP B-SBAR B-NP B-VP B-PP B-NP I-NP O B-NP B-VP B-PRT B-VP I-VP B-PRT O O B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP O	cambridge	be in	east anglia
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10511	she	referred to	it	10	11	18	20	20	21	0.010723659216039738	On being told that Cambridge is in East Anglia , she assumed that to be abroad , and referred to it as " East Angular " .	IN VBG VBN IN NNP VBZ IN NNP NNP , PRP VBD IN TO VB RB , CC VBD TO PRP IN `` NNP NNP '' .	B-PP B-VP I-VP B-SBAR B-NP B-VP B-PP B-NP I-NP O B-NP B-VP B-PRT B-VP I-VP B-PRT O O B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP O	she	refer to	it
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10512	Rio de Janeiro	is	a person	5	8	8	9	9	11	0.43929468810131256	Her other misconceptions included that Rio de Janeiro is a person and not a city , that Portugal is part of Spain , that the St George 's Cross is not the Flag of England but only the flag of London , and lack of awareness that Aberdeen is in Scotland and that the United States is an English-speaking country .	PRP$ JJ NNS VBD IN NNP NNP NNP VBZ DT NN CC RB DT NN , IN NNP VBZ NN IN NNP , IN DT NNP NNP POS NNP VBZ RB DT NNP IN NNP CC RB DT NN IN NNP , CC NN IN NN IN NNP VBZ IN NNP CC IN DT NNP NNP VBZ DT JJ NN .	B-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP B-VP B-NP I-NP B-NP I-NP B-NP I-NP O B-SBAR B-NP B-VP B-NP I-NP I-NP O B-SBAR B-NP I-NP I-NP I-NP I-NP B-VP O B-NP I-NP I-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP B-SBAR B-NP B-VP B-PP B-NP O B-SBAR B-NP I-NP I-NP B-VP B-NP I-NP I-NP O	rio de janeiro	be	a person
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10512	Portugal	is part of	Spain	17	18	18	21	21	22	0.8754666236979902	Her other misconceptions included that Rio de Janeiro is a person and not a city , that Portugal is part of Spain , that the St George 's Cross is not the Flag of England but only the flag of London , and lack of awareness that Aberdeen is in Scotland and that the United States is an English-speaking country .	PRP$ JJ NNS VBD IN NNP NNP NNP VBZ DT NN CC RB DT NN , IN NNP VBZ NN IN NNP , IN DT NNP NNP POS NNP VBZ RB DT NNP IN NNP CC RB DT NN IN NNP , CC NN IN NN IN NNP VBZ IN NNP CC IN DT NNP NNP VBZ DT JJ NN .	B-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP B-VP B-NP I-NP B-NP I-NP B-NP I-NP O B-SBAR B-NP B-VP B-NP I-NP I-NP O B-SBAR B-NP I-NP I-NP I-NP I-NP B-VP O B-NP I-NP I-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP B-SBAR B-NP B-VP B-PP B-NP O B-SBAR B-NP I-NP I-NP B-VP B-NP I-NP I-NP O	portugal	be part of	spain
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10512	the St George 's Cross	is not the Flag of	England	24	29	29	34	34	35	0.8630608224415365	Her other misconceptions included that Rio de Janeiro is a person and not a city , that Portugal is part of Spain , that the St George 's Cross is not the Flag of England but only the flag of London , and lack of awareness that Aberdeen is in Scotland and that the United States is an English-speaking country .	PRP$ JJ NNS VBD IN NNP NNP NNP VBZ DT NN CC RB DT NN , IN NNP VBZ NN IN NNP , IN DT NNP NNP POS NNP VBZ RB DT NNP IN NNP CC RB DT NN IN NNP , CC NN IN NN IN NNP VBZ IN NNP CC IN DT NNP NNP VBZ DT JJ NN .	B-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP B-VP B-NP I-NP B-NP I-NP B-NP I-NP O B-SBAR B-NP B-VP B-NP I-NP I-NP O B-SBAR B-NP I-NP I-NP I-NP I-NP B-VP O B-NP I-NP I-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP B-SBAR B-NP B-VP B-PP B-NP O B-SBAR B-NP I-NP I-NP B-VP B-NP I-NP I-NP O	the st george 's cross	be flag of	england
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10512	Aberdeen	is in	Scotland	47	48	48	50	50	51	0.8122071118696148	Her other misconceptions included that Rio de Janeiro is a person and not a city , that Portugal is part of Spain , that the St George 's Cross is not the Flag of England but only the flag of London , and lack of awareness that Aberdeen is in Scotland and that the United States is an English-speaking country .	PRP$ JJ NNS VBD IN NNP NNP NNP VBZ DT NN CC RB DT NN , IN NNP VBZ NN IN NNP , IN DT NNP NNP POS NNP VBZ RB DT NNP IN NNP CC RB DT NN IN NNP , CC NN IN NN IN NNP VBZ IN NNP CC IN DT NNP NNP VBZ DT JJ NN .	B-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP B-VP B-NP I-NP B-NP I-NP B-NP I-NP O B-SBAR B-NP B-VP B-NP I-NP I-NP O B-SBAR B-NP I-NP I-NP I-NP I-NP B-VP O B-NP I-NP I-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP B-SBAR B-NP B-VP B-PP B-NP O B-SBAR B-NP I-NP I-NP B-VP B-NP I-NP I-NP O	aberdeen	be in	scotland
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10512	the United States	is	an English-speaking country	53	56	56	57	57	60	0.7059394864347914	Her other misconceptions included that Rio de Janeiro is a person and not a city , that Portugal is part of Spain , that the St George 's Cross is not the Flag of England but only the flag of London , and lack of awareness that Aberdeen is in Scotland and that the United States is an English-speaking country .	PRP$ JJ NNS VBD IN NNP NNP NNP VBZ DT NN CC RB DT NN , IN NNP VBZ NN IN NNP , IN DT NNP NNP POS NNP VBZ RB DT NNP IN NNP CC RB DT NN IN NNP , CC NN IN NN IN NNP VBZ IN NNP CC IN DT NNP NNP VBZ DT JJ NN .	B-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP B-VP B-NP I-NP B-NP I-NP B-NP I-NP O B-SBAR B-NP B-VP B-NP I-NP I-NP O B-SBAR B-NP I-NP I-NP I-NP I-NP B-VP O B-NP I-NP I-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP B-SBAR B-NP B-VP B-PP B-NP O B-SBAR B-NP I-NP I-NP B-VP B-NP I-NP I-NP O	the united states	be	an english-speaking country
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10513	She	also was criticised by	the tabloid press	0	1	1	5	5	8	0.6310699858423937	She also was criticised by the tabloid press during her time in the Big Brother house for an evening during which she cavorted drunk and naked and also was criticised for "backstabbing" .	PRP RB VBD VBN IN DT JJ NN IN PRP$ NN IN DT NNP NNP NN IN DT NN IN WDT PRP VBD JJ CC JJ CC RB VBD VBN IN NN .	B-NP B-ADVP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP B-NP B-VP B-ADJP O B-ADJP O B-ADVP B-VP I-VP B-PP B-NP O	she	criticise by	the tabloid press
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10513	she	also was criticised for	"backstabbing"	21	22	27	31	31	32	0.3604144280021281	She also was criticised by the tabloid press during her time in the Big Brother house for an evening during which she cavorted drunk and naked and also was criticised for "backstabbing" .	PRP RB VBD VBN IN DT JJ NN IN PRP$ NN IN DT NNP NNP NN IN DT NN IN WDT PRP VBD JJ CC JJ CC RB VBD VBN IN NN .	B-NP B-ADVP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP B-NP B-VP B-ADJP O B-ADJP O B-ADVP B-VP I-VP B-PP B-NP O	she	criticise for	"backstabbing"
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10514	She	avoided	eviction	0	1	1	2	2	3	0.3154313966713446	She avoided eviction by not being put up for the public vote until week 6 , by which time the peak of the media 's disliking of her had passed .	PRP VBD NN IN RB VBG VBN RP IN DT JJ NN IN NN CD , IN WDT NN DT NN IN DT NNS POS NN IN PRP VBD VBN .	B-NP B-VP B-NP B-PP B-VP I-VP I-VP B-PRT B-PP B-NP I-NP I-NP B-PP B-NP I-NP O B-PP B-NP B-NP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP I-VP O	she	avoid	eviction
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10515	she	had become popular with	a substantial proportion of the media and general public	2	3	3	7	7	16	0.5441566038359413	By then she had become popular with a substantial proportion of the media and general public , and as a result stayed in the house until the final week ; she finished fourth .	IN RB PRP VBD VBN JJ IN DT JJ NN IN DT NNS CC JJ NN , CC IN DT NN VBD IN DT NN IN DT JJ NN : PRP VBD RB .	B-PP B-ADVP B-NP B-VP I-VP B-ADJP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-PP B-NP I-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP O B-NP B-VP B-ADVP O	she	become popular with	a substantial proportion of the media and general public
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10515	a result	stayed in	the house	19	21	21	23	23	25	0.615049007398049	By then she had become popular with a substantial proportion of the media and general public , and as a result stayed in the house until the final week ; she finished fourth .	IN RB PRP VBD VBN JJ IN DT JJ NN IN DT NNS CC JJ NN , CC IN DT NN VBD IN DT NN IN DT JJ NN : PRP VBD RB .	B-PP B-ADVP B-NP B-VP I-VP B-ADJP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-PP B-NP I-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP O B-NP B-VP B-ADVP O	a result	stay in	the house
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10516	She	was believed to be	the first instance of sexual contact	0	1	4	8	8	14	0.21992514709402025	She also provided what was believed to be the first instance of sexual contact in Big Brother UK history , with a drunken grope with fellow housemate PJ , though it is unclear what sexual acts , if any , took place .	PRP RB VBD WP VBD VBN TO VB DT JJ NN IN JJ NN IN NNP NNP NNP NN , IN DT JJ NN IN NN NN NNP , IN PRP VBZ JJ WP JJ NNS , IN DT , VBD NN .	B-NP B-ADVP B-VP B-NP B-VP I-VP I-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-SBAR B-NP B-VP B-ADJP B-NP I-NP I-NP O B-PP B-NP O B-VP B-NP O	she	believe to be	the first instance of sexual contact
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10516	it	took	place	30	31	40	41	41	42	0.0238647470004771	She also provided what was believed to be the first instance of sexual contact in Big Brother UK history , with a drunken grope with fellow housemate PJ , though it is unclear what sexual acts , if any , took place .	PRP RB VBD WP VBD VBN TO VB DT JJ NN IN JJ NN IN NNP NNP NNP NN , IN DT JJ NN IN NN NN NNP , IN PRP VBZ JJ WP JJ NNS , IN DT , VBD NN .	B-NP B-ADVP B-VP B-NP B-VP I-VP I-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-SBAR B-NP B-VP B-ADJP B-NP I-NP I-NP O B-PP B-NP O B-VP B-NP O	it	take	place
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10517	Goody	fronted	her own reality TV shows	0	1	1	2	2	7	0.8898782593240342	Goody fronted her own reality TV shows and appeared regularly in celebrity , trivia , and gossip-oriented women 's magazines such as Heat and OK ! .	NNP VBD PRP$ JJ NN NN NNS CC VBD RB IN NN , NNS , CC JJ NNS POS NNS JJ IN NNP CC JJ . .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP O B-VP B-ADVP B-PP B-NP O B-NP O O B-NP I-NP I-NP I-NP B-PP I-PP B-NP O B-NP I-NP O	goody	front	her own reality tv shows
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10517	Goody	appeared regularly in	celebrity	0	1	8	11	11	12	0.9815903034353906	Goody fronted her own reality TV shows and appeared regularly in celebrity , trivia , and gossip-oriented women 's magazines such as Heat and OK ! .	NNP VBD PRP$ JJ NN NN NNS CC VBD RB IN NN , NNS , CC JJ NNS POS NNS JJ IN NNP CC JJ . .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP O B-VP B-ADVP B-PP B-NP O B-NP O O B-NP I-NP I-NP I-NP B-PP I-PP B-NP O B-NP I-NP O	goody	appear in	celebrity
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10518	Goody	signed up for	the 2006 London Marathon	0	1	1	4	4	8	0.9999999999834597	Goody signed up for the 2006 London Marathon .	NNP VBD RP IN DT CD NNP NNP .	B-NP B-VP B-PRT B-PP B-NP I-NP I-NP I-NP O	goody	sign up for	the # london marathon
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10519	Goody	described	her preparations	4	5	5	6	6	8	0.04314366011174129	Before the race , Goody described her preparations to TV chef , Gordon Ramsay .	IN DT NN , NNP VBD PRP$ NNS TO NN NN , NNP NNP .	B-PP B-NP I-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP O B-NP I-NP O	goody	describe	her preparations
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10520	I	've been eating	curry	1	2	2	5	5	6	0.307039993828926	" I 've been eating curry , Chinese and drinking . "	`` PRP VBP VBN VBG NN , NNP CC NN . ''	O B-NP B-VP I-VP I-VP B-NP O B-NP I-NP I-NP O O	i	eat	curry
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10521	I	do n't really understand	miles	6	7	7	11	11	12	0.0028466469449695895	Afterwards , she explained : " I do n't really understand miles .	RB , PRP VBD : `` PRP VBP RB RB VB NNS .	B-ADVP O B-NP B-VP O O B-NP B-VP I-VP I-VP I-VP B-NP O	i	understand	miles
