/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8423	Jacques Joseph Charles Villeneuve	is	a Canadian musician	0	4	6	7	7	10	0.843908541236736	Jacques Joseph Charles Villeneuve , , is a Canadian musician and former automobile racing driver .	NNP NNP NNP NNP , , VBZ DT JJ NN CC JJ NN VBG NN .	B-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP O B-NP I-NP I-NP I-NP O	jacques joseph charles villeneuve	be	a canadian musician
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8431	the top three	was	1997	17	20	20	21	21	22	0.7621111158039295	The last year in which Villeneuve would win a championship level race and finish the season in the top three was 1997 .	DT JJ NN IN WDT NNP MD VB DT NN NN NN CC VB DT NN IN DT JJ CD VBD CD .	B-NP I-NP I-NP B-PP B-NP B-NP B-VP I-VP B-NP I-NP I-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-VP B-NP O	the top #	be	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8432	Renault	had pulled out of	Formula One	0	1	1	5	5	7	0.9505176747463676	Renault had pulled out of Formula One for 1998 and Villeneuve 's Williams team had to fare with less competitive Mecachrome engines .	NNP VBD VBN IN IN NNP CD IN CD CC NNP POS NNP NN VBD TO VB IN RBR JJ NNP NNS .	B-NP B-VP I-VP B-PP B-PP B-NP I-NP B-PP B-NP O B-NP I-NP I-NP I-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP O	renault	pull out of	formula #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8433	Villeneuve	moved to	the newly formed British American Racing team	0	1	1	3	3	10	0.9504594734634282	Villeneuve moved to the newly formed British American Racing team in 1999 and stayed there for the next four seasons but , following poor results he was replaced by former British Formula Three Champion Takuma Sato .	NNP VBD TO DT RB VBN JJ NNP NNP NN IN CD CC VBD RB IN DT JJ CD NNS CC , VBG JJ NNS PRP VBD VBN IN JJ NNP NNP CD NNP NNP NNP .	B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-VP B-ADVP B-PP B-NP I-NP I-NP I-NP O O B-PP B-NP I-NP B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	villeneuve	move to	the newly formed british american racing team
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8433	the newly formed British American Racing team	stayed there for	the next four seasons	3	10	13	16	16	20	0.9692166449580105	Villeneuve moved to the newly formed British American Racing team in 1999 and stayed there for the next four seasons but , following poor results he was replaced by former British Formula Three Champion Takuma Sato .	NNP VBD TO DT RB VBN JJ NNP NNP NN IN CD CC VBD RB IN DT JJ CD NNS CC , VBG JJ NNS PRP VBD VBN IN JJ NNP NNP CD NNP NNP NNP .	B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-VP B-ADVP B-PP B-NP I-NP I-NP I-NP O O B-PP B-NP I-NP B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	the newly formed british american racing team	stay for	the next # seasons
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8433	he	was replaced by	former British Formula Three Champion Takuma Sato	25	26	26	29	29	36	0.54320784578465	Villeneuve moved to the newly formed British American Racing team in 1999 and stayed there for the next four seasons but , following poor results he was replaced by former British Formula Three Champion Takuma Sato .	NNP VBD TO DT RB VBN JJ NNP NNP NN IN CD CC VBD RB IN DT JJ CD NNS CC , VBG JJ NNS PRP VBD VBN IN JJ NNP NNP CD NNP NNP NNP .	B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-VP B-ADVP B-PP B-NP I-NP I-NP I-NP O O B-PP B-NP I-NP B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	replace by	former british formula # champion takuma sato
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8434	Villeneuve	moved to	the Sauber team	12	13	13	15	15	18	0.9311582177673717	After a short run with Renault at the end of 2004 , Villeneuve moved to the Sauber team for the 2005 season where he was outscored by his less experienced teammate Felipe Massa .	IN DT JJ NN IN NNP IN DT NN IN CD , NNP VBD TO DT NNP NN IN DT CD NN WRB PRP VBD VBN IN PRP$ RBR JJ NN NNP NNP .	B-PP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP B-ADVP B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	villeneuve	move to	the sauber team
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8434	he	was outscored by	his less experienced teammate Felipe Massa	23	24	24	27	27	33	0.7956314733934524	After a short run with Renault at the end of 2004 , Villeneuve moved to the Sauber team for the 2005 season where he was outscored by his less experienced teammate Felipe Massa .	IN DT JJ NN IN NNP IN DT NN IN CD , NNP VBD TO DT NNP NN IN DT CD NN WRB PRP VBD VBN IN PRP$ RBR JJ NN NNP NNP .	B-PP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP B-ADVP B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	he	outscore by	his less experienced teammate felipe massa
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8435	The Sauber team	were bought out by	BMW	0	3	3	7	7	8	0.9851395303038705	The Sauber team were bought out by BMW for the following season and Villeneuve struggled to score points , taking seven points from eleven rounds before suffering an injury in Germany .	DT NNP NN VBD VBN RP IN NNP IN DT VBG NN CC NNP VBD TO NN NNS , VBG CD NNS IN CD NNS IN VBG DT NN IN NNP .	B-NP I-NP I-NP B-VP I-VP B-ADVP B-PP B-NP B-PP B-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-VP B-NP I-NP B-PP B-NP O	the sauber team	buy out by	bmw
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8435	Villeneuve	struggled to	score points	13	14	14	16	16	18	0.8418984132824775	The Sauber team were bought out by BMW for the following season and Villeneuve struggled to score points , taking seven points from eleven rounds before suffering an injury in Germany .	DT NNP NN VBD VBN RP IN NNP IN DT VBG NN CC NNP VBD TO NN NNS , VBG CD NNS IN CD NNS IN VBG DT NN IN NNP .	B-NP I-NP I-NP B-VP I-VP B-ADVP B-PP B-NP B-PP B-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-VP B-NP I-NP B-PP B-NP O	villeneuve	struggle to	score points
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8436	The Canadian	was replaced by	Robert Kubica	0	2	2	5	5	7	0.9883264483706442	The Canadian was replaced by Robert Kubica and soon BMW and Villeneuve parted company .	DT NNP VBD VBN IN NNP NNP CC RB NNP CC NNP VBD NN .	B-NP I-NP B-VP I-VP B-PP B-NP I-NP O B-ADVP B-NP I-NP I-NP B-VP B-NP O	the canadian	replace by	robert kubica
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8436	BMW and Villeneuve	parted	company	9	12	12	13	13	14	0.7190992980600233	The Canadian was replaced by Robert Kubica and soon BMW and Villeneuve parted company .	DT NNP VBD VBN IN NNP NNP CC RB NNP CC NNP VBD NN .	B-NP I-NP B-VP I-VP B-PP B-NP I-NP O B-ADVP B-NP I-NP I-NP B-VP B-NP O	bmw and villeneuve	part	company
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8437	Villeneuve	has taken on	several new careers	4	5	5	8	8	11	0.9992921001136403	Outside Formula One , Villeneuve has taken on several new careers : in sportscar racing , racing for Peugeot in the 2007 and 2008 24 Hours of Le Mans , jumping to NASCAR in August 2007 and racing as an invited driver in the Argentinian Top Race V6 series , and in music , so far releasing one album titled Private Paradise .	JJ NNP CD , NNP VBZ VBN IN JJ JJ NNS : IN NN NN , VBG IN NNP IN DT CD CC CD CD NNS IN NNP NNP , VBG TO NNP IN NNP CD CC VBG IN DT VBN NN IN DT JJ JJ NNP NNP NN , CC IN NN , RB RB VBG CD NN VBN JJ NNP .	B-NP I-NP I-NP O B-NP B-VP I-VP B-PP B-NP I-NP I-NP O B-PP B-NP I-NP O B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-PP B-PP B-NP B-PP B-NP I-NP O B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O O B-PP B-NP O B-ADVP I-ADVP B-VP B-NP I-NP B-VP B-NP I-NP O	villeneuve	take on	several new careers
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8438	Jacques Villeneuve	was born in	the Canadian city of Saint-Jean-sur-Richelieu	0	2	2	5	5	10	0.9878484195117798	Jacques Villeneuve was born in the Canadian city of Saint-Jean-sur-Richelieu , Quebec , to aspiring Formula One driver Gilles Villeneuve and his wife Joann .	NNP NNP VBD VBN IN DT JJ NN IN NNP , NNP , TO VBG NNP CD NN NNP NNP CC PRP$ NN NNP .	B-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP O B-PP B-VP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O	jacques villeneuve	bear in	the canadian city of saint-jean-sur-richelieu
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8439	Villeneuve	was born in	Canada	1	2	2	5	5	6	0.9222826814994748	Although Villeneuve was born in Canada , he was in fact raised in Monaco .	IN NNP VBD VBN IN NNP , PRP VBD IN NN VBN IN NNP .	B-SBAR B-NP B-VP I-VP B-PP B-NP O B-NP B-VP B-PP B-NP B-VP B-PP B-NP O	villeneuve	bear in	canada
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8439	he	was in	fact	7	8	8	10	10	11	0.004008473204233566	Although Villeneuve was born in Canada , he was in fact raised in Monaco .	IN NNP VBD VBN IN NNP , PRP VBD IN NN VBN IN NNP .	B-SBAR B-NP B-VP I-VP B-PP B-NP O B-NP B-VP B-PP B-NP B-VP B-PP B-NP O	he	be in	fact
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8440	Jacques	also has	two sisters	0	1	1	3	3	5	0.8687196018993253	Jacques also has two sisters : Melanie and Jessica Villeneuve , the latter being a half sister .	NNP RB VBZ CD NNS : NNP CC NNP NNP , DT NN VBG DT NN NN .	B-NP B-ADVP B-VP B-NP I-NP O B-NP O B-NP I-NP O B-NP I-NP B-VP B-NP I-NP I-NP O	jacques	have	# sisters
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8441	Jacques ' uncle	was also	a racing driver	0	3	7	9	9	12	0.8839789069954385	Jacques ' uncle , Jacques Sr. , was also a racing driver and in 1985 at Road America became the first Canadian to win a CART race .	NNP POS NN , NNP NNP , VBD RB DT JJ NN CC IN CD IN NNP NNP VBD DT JJ JJ TO VB DT NNP NN .	B-NP I-NP I-NP O B-NP I-NP O B-VP B-ADVP B-NP I-NP I-NP O B-PP B-NP B-PP B-NP I-NP B-VP B-NP I-NP B-ADJP B-VP I-VP B-NP I-NP I-NP O	jacques ' uncle	be	a racing driver
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8441	Road America	became the first Canadian to win	a CART race	16	18	18	24	24	27	0.8699337715405235	Jacques ' uncle , Jacques Sr. , was also a racing driver and in 1985 at Road America became the first Canadian to win a CART race .	NNP POS NN , NNP NNP , VBD RB DT JJ NN CC IN CD IN NNP NNP VBD DT JJ JJ TO VB DT NNP NN .	B-NP I-NP I-NP O B-NP I-NP O B-VP B-ADVP B-NP I-NP I-NP O B-PP B-NP B-PP B-NP I-NP B-VP B-NP I-NP B-ADJP B-VP I-VP B-NP I-NP I-NP O	road america	become first canadian to win	a cart race
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8442	Villeneuve	was	eleven years	1	2	2	3	3	5	0.7728101760778932	When Villeneuve was eleven years old , his father was killed during the qualifying session for the 1982 Belgian Grand Prix at Zolder following a collision with Jochen Mass .	WRB NNP VBD CD NNS JJ , PRP$ NN VBD VBN IN DT NN NN IN DT CD JJ NNP NNP IN NNP VBG DT NN IN NNP NNP .	B-ADVP B-NP B-VP B-NP I-NP B-ADJP O B-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP B-PP B-NP I-NP O	villeneuve	be	# years
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8442	his father	was killed during	the qualifying session	7	9	9	12	12	15	0.8719393961087629	When Villeneuve was eleven years old , his father was killed during the qualifying session for the 1982 Belgian Grand Prix at Zolder following a collision with Jochen Mass .	WRB NNP VBD CD NNS JJ , PRP$ NN VBD VBN IN DT NN NN IN DT CD JJ NNP NNP IN NNP VBG DT NN IN NNP NNP .	B-ADVP B-NP B-VP B-NP I-NP B-ADJP O B-NP I-NP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP B-PP B-NP I-NP O	his father	kill during	the qualifying session
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8443	Villeneuve	lives between	Villars-sur-Ollon	4	5	5	7	7	8	0.9827109825699403	When not racing , Villeneuve lives between Villars-sur-Ollon , Switzerland and Montreal , Canada .	WRB RB NN , NNP VBZ IN NNP , NNP CC NNP , NNP .	B-ADVP B-NP I-NP O B-NP B-VP B-PP B-NP O B-NP I-NP I-NP O B-NP O	villeneuve	live between	villars-sur-ollon
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8444	Villeneuve	was among	the first group	0	1	1	3	3	6	0.33733659113434383	Villeneuve was among the first group inducted into Canada 's Walk of Fame .	NNP VBD IN DT JJ NN VBN IN NNP POS NNP IN NNP .	B-NP B-VP B-PP B-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP O	villeneuve	be among	the first group
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8445	He	was also named	Canada 's Athlete of the Year	0	1	1	4	4	10	0.7977551344537768	He was also named Canada 's Athlete of the Year , receiving the Lou Marsh Trophy in 1995 and 1997 .	PRP VBD RB VBN NNP POS NNP IN DT NN , VBG DT NNP NNP NNP IN CD CC CD .	B-NP B-VP I-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	he	name	canada 's athlete of the year
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8446	he	was made an Officer of	the National Order of Quebec	3	4	4	9	9	14	0.552274918098675	In 1998 , he was made an Officer of the National Order of Quebec .	IN CD , PRP VBD VBN DT NNP IN DT NNP NNP IN NNP .	B-PP B-NP O B-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	make officer of	the national order of quebec
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8447	Villeneuve 's first girlfriend	was	Sandrine Gros d'Aillon	0	4	4	5	5	8	0.9999999999739511	Villeneuve 's first girlfriend was Sandrine Gros d'Aillon .	NNP POS JJ NN VBD NNP NNP NNP .	B-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O	villeneuve 's first girlfriend	be	sandrine gros d'aillon
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8449	Villeneuve	was also engaged to	Australian singer Dannii Minogue	0	1	1	5	5	9	0.9883435392517197	Villeneuve was also engaged to Australian singer Dannii Minogue in the late 1990s and was once engaged to American ballerina Ellen Green .	NNP VBD RB VBN TO JJ NN NNP NNP IN DT JJ CD CC VBD RB VBN TO NNP NN NNP NNP .	B-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP O	villeneuve	engage to	australian singer dannii minogue
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8449	Australian singer Dannii Minogue	was once engaged to	American ballerina Ellen Green	5	9	14	18	18	22	0.9875264990096586	Villeneuve was also engaged to Australian singer Dannii Minogue in the late 1990s and was once engaged to American ballerina Ellen Green .	NNP VBD RB VBN TO JJ NN NNP NNP IN DT JJ CD CC VBD RB VBN TO NNP NN NNP NNP .	B-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP O	australian singer dannii minogue	engage to	american ballerina ellen green
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8450	He	married	his Parisienne girlfriend Johanna Martinez	0	1	1	2	2	7	0.6901370569767697	He married his Parisienne girlfriend Johanna Martinez on May 29 , 2006 , at a civil ceremony in Switzerland .	PRP VBD PRP$ NNP NN NNP NNP IN NNP CD , CD , IN DT JJ NN IN NNP .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP B-PP B-NP O	he	marry	his parisienne girlfriend johanna martinez
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8451	it	was announced	the Villeneuves	4	5	5	7	7	9	0.016746604492278595	After the ceremony , it was announced the Villeneuves were expecting a baby in November .	IN DT NN , PRP VBD VBN DT NNS VBD VBG DT NN IN NNP .	B-PP B-NP I-NP O B-NP B-VP I-VP B-NP I-NP B-VP I-VP B-NP I-NP B-PP B-NP O	it	announce	the villeneuves
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8451	the Villeneuves	were expecting a baby in	November	7	9	9	14	14	15	0.8096829619840641	After the ceremony , it was announced the Villeneuves were expecting a baby in November .	IN DT NN , PRP VBD VBN DT NNS VBD VBG DT NN IN NNP .	B-PP B-NP I-NP O B-NP B-VP I-VP B-NP I-NP B-VP I-VP B-NP I-NP B-PP B-NP O	the villeneuves	expect baby in	november
